"i","set_return"
2002,20.267
2003,129.539283967689
2004,-12.7669340639243
2005,8.55736205180884
2006,-1.99138507133103
2007,35.4693130447742
2008,-44.1111356777571
2009,61.0640239926979
2010,48.2595893274462
2011,2.71472207708694
2012,39.0562900125252
2013,-4.69271681648646
2014,25.6938728225015
2015,-10.3694995989689
